學校級別,代碼,學校名稱,縣市別,鄉鎮市區,郵遞區號,地址,電話,網址,體系別,X 坐標,Y 坐標
大專校院,1,國立政治大學,臺北市,文山區,[116,臺北市文山區指南路二段64號,(02)29393091,http://www.nccu.edu.tw,[1]一般,308198.893,2764507.781
大專校院,2,國立清華大學,新竹市,東區,[300,新竹市東區光復路二段101號,(03)5715131,http://www.nthu.edu.tw,[1]一般,249682.93,2743226.51
大專校院,3,國立臺灣大學,臺北市,大安區,[106,臺北市大安區羅斯福路四段1號,(02)33663366,http://www.ntu.edu.tw,[1]一般,303864.837,2767764.512
大專校院,4,國立臺灣師範大學,臺北市,大安區,[106,臺北市大安區和平東路一段162號,(02)77491111,http://www.ntnu.edu.tw,[3]師範,303242.056,2768811.499
大專校院,5,國立成功大學,臺南市,東區,[701,臺南市東區大學路1號,(06)2757575,http://www.ncku.edu.tw,[1]一般,169989.31,2544089.71
大專校院,6,國立中興大學,臺中市,南區,[402,臺中市南區興大路145號,(04)22873181,http://www.nchu.edu.tw,[1]一般,217065.387,2668709.273
大專校院,7,國立交通大學,新竹市,東區,[300,新竹市東區大學路1001號,(03)5712121,http://www.nycu.edu.tw,[1]一般,250002.363,2742446.555
大專校院,8,國立中央大學,桃園市,中壢區,[320,桃園市中壢區中大路300號,(03)4227151,http://www.ncu.edu.tw,[1]一般,269731,2762280.01
大專校院,9,國立中山大學,高雄市,鼓山區,[804,高雄市鼓山區蓮海路70號,(07)5252000,http://www.nsysu.edu.tw,[1]一般,174548.157,2503106.93
大專校院,12,國立臺灣海洋大學,基隆市,中正區,[202,基隆市中正區北寧路2號,(02)24622192,http://www.ntou.edu.tw,[1]一般,327891.619,2782708.205
大專校院,13,國立中正大學,嘉義縣,民雄鄉,[621,嘉義縣民雄鄉三興村7鄰大學路一段168號,(05)2720411,http://www.ccu.edu.tw,[1]一般,196360.06,2606673.31
大專校院,14,國立高雄師範大學,高雄市,苓雅區,[802,高雄市苓雅區和平一路116號,(07)7172930,http://www.nknu.edu.tw,[3]師範,180090.267,2503094.885
大專校院,15,國立彰化師範大學,彰化縣,彰化市,[500,彰化縣彰化市進德路1號,(04)7232105,http://www.ncue.edu.tw,[3]師範,205114.91,2664121.32
大專校院,16,國立陽明大學,臺北市,北投區,[112,臺北市北投區立農街二段155號,(02)28267000,http://www.ym.edu.tw,[1]一般,301763.598,2779128.817
大專校院,17,國立臺北大學,新北市,三峽區,[237,新北市三峽區大學路151號,(02)86741111,http://new.ntpu.edu.tw/,[1]一般,287683.549,2759752.251
大專校院,18,國立嘉義大學,嘉義市,東區,[600,嘉義市東區鹿寮里學府路300號,(05)2717000,http://www.ncyu.edu.tw,[1]一般,197237.589,2595732.829
大專校院,19,國立高雄大學,高雄市,楠梓區,[811,高雄市楠梓區高雄大學路700號,(07)5919000,http://www.nuk.edu.tw,[1]一般,176334.536,2514994.767
大專校院,20,國立東華大學,花蓮縣,壽豐鄉,[974,花蓮縣壽豐鄉志學村大學路二段1號,(03)8903000,http://www.ndhu.edu.tw,[1]一般,305334.356,2643417.544
大專校院,21,國立暨南國際大學,南投縣,埔里鎮,[545,南投縣埔里鎮大學路1號,(049)2910960#2996,http://www.ncnu.edu.tw,[1]一般,242958.65,2649619.44
大專校院,22,國立臺灣科技大學,臺北市,大安區,[106,臺北市大安區基隆路四段43號,(02)27333141,http://www.ntust.edu.tw,[2]技職,304565.02,2767408.618
大專校院,23,國立雲林科技大學,雲林縣,斗六市,[640,雲林縣斗六市大學路三段123號,(05)5342601,http://www.yuntech.edu.tw,[2]技職,202564.24,2621318.56
大專校院,24,國立屏東科技大學,屏東縣,內埔鄉,[912,屏東縣內埔鄉老埤村學府路1號,(08)7703202,http://www.npust.edu.tw,[2]技職,208484.77,2504608.9
大專校院,25,國立臺北科技大學,臺北市,大安區,[106,臺北市大安區忠孝東路三段1號,(02)27712171,http://www.ntut.edu.tw,[2]技職,304036.865,2770560.156
大專校院,28,國立臺北藝術大學,臺北市,北投區,[112,臺北市北投區學園路1號,(02)28961000,http://www.tnua.edu.tw,[1]一般,297007.916,2780250.98
大專校院,29,國立臺灣藝術大學,新北市,板橋區,[220,新北市板橋區大觀路一段59號,(02)22722181,http://www.ntua.edu.tw,[1]一般,295175.767,2766504.447
大專校院,30,國立臺東大學,臺東縣,臺東市,[950,臺東縣臺東市大學路二段369號,(089)318855,http://www.nttu.edu.tw,[1]一般,257201.086,2515184.789
大專校院,31,國立宜蘭大學,宜蘭縣,宜蘭市,[260,宜蘭縣宜蘭市神農路一段1號,(03)9357400,http://www.niu.edu.tw,[1]一般,325667.719,2737773.407
大專校院,32,國立聯合大學,苗栗縣,苗栗市,[360,苗栗縣苗栗市恭敬里聯大1號,(037)381000,http://www.nuu.edu.tw,[1]一般,230979.494,2715491.011
大專校院,33,國立虎尾科技大學,雲林縣,虎尾鎮,[632,雲林縣虎尾鎮文化路64號,(05)6315000,http://www.nfu.edu.tw,[2]技職,191830.69,2622102.46
大專校院,35,國立臺南藝術大學,臺南市,官田區,[720,臺南市官田區大崎里大崎66號,(06)6930100,http://www.tnnua.edu.tw,[1]一般,185967.33,2565017.01
大專校院,36,國立臺南大學,臺南市,中西區,[700,臺南市中西區樹林街二段33號,(06)2133111,http://web.nutn.edu.tw,[1]一般,168800.16,2542850.28
大專校院,37,國立臺北教育大學,臺北市,大安區,[106,臺北市大安區和平東路二段134號,(02)27321104,http://www.ntue.edu.tw,[3]師範,304972.539,2768613.521
大專校院,39,國立臺中教育大學,臺中市,西區,[403,臺中市西區民生路140號,(04)22183199,http://www.ntcu.edu.tw,[3]師範,216644.49,2670942.574
大專校院,42,國立澎湖科技大學,澎湖縣,馬公市,[880,澎湖縣馬公市六合路300號,(06)9264115,http://www.npu.edu.tw,[2]技職,105217.64,2608554.087
大專校院,43,國立勤益科技大學,臺中市,太平區,[411,臺中市太平區坪林里中山路二段57號,(04)23924505,http://www.ncut.edu.tw,[2]技職,222755.479,2670993.942
大專校院,44,國立體育大學,桃園市,龜山區,[333,桃園市龜山區文化一路250號,(03)3283201,http://www.ntsu.edu.tw,[1]一般,288493,2769630.01
大專校院,46,國立臺北護理健康大學,臺北市,北投區,[112,臺北市北投區明德路365號,(02)28227101,http://www.ntunhs.edu.tw,[2]技職,302575.025,2778899.143
大專校院,47,國立高雄餐旅大學,高雄市,小港區,[812,高雄市小港區松和路1號,(07)8060505,http://www.nkuht.edu.tw,[2]技職,185366.485,2496332.653
大專校院,48,國立金門大學,金門縣,金寧鄉,[892,金門縣金寧鄉大學路1號,(082)313300,http://www.nqu.edu.tw/cht/index.php,[1]一般,-21532.195,2707297.639
大專校院,49,國立臺灣體育運動大學,臺中市,北區,[404,臺中市北區雙十路一段16號,(04)22213108,http://www.ntupes.edu.tw,[1]一般,218239.263,2671561.422
大專校院,50,國立臺中科技大學,臺中市,北區,[404,臺中市北區三民路三段129號,(04)22195678,http://www.nutc.edu.tw/bin/home.php,[2]技職,217786.566,2671714.283
大專校院,51,國立臺北商業大學,臺北市,中正區,[100,臺北市中正區濟南路一段321號,(02)33222777,http://www.ntub.edu.tw,[2]技職,303029.639,2770526.642
大專校院,52,國立屏東大學,屏東縣,屏東市,[900,屏東縣屏東市民生路4-18號,(08)7663800,http://www.nptu.edu.tw,[1]一般,199077.13,2507316.43
大專校院,53,國立高雄科技大學,高雄市,三民區,[807,高雄市三民區建工路415號,(07)3814526,http://www.nkust.edu.tw,[2]技職,180970.461,2505857.955
大專校院,144,國立臺灣戲曲學院,臺北市,內湖區,[114,臺北市內湖區內湖路二段177號,(02)27962666,http://www.tcpa.edu.tw/bin/home.php,[2]技職,309171.879,2774929.583
大專校院,221,國立臺南護理專科學校,臺南市,中西區,[700,臺南市中西區民族路二段78號,(06)2110600,http://www.ntin.edu.tw,[2]技職,168755.13,2543983.86
大專校院,222,國立臺東專科學校,臺東縣,臺東市,[950,臺東縣臺東市正氣北路889號,(089)226389#6000　,http://www.ntc.edu.tw,[2]技職,262700.91,2517331.413
大專校院,1001,東海大學,臺中市,西屯區,[407,臺中市西屯區臺灣大道四段1727號,(04)23590121,http://cdn.thu.edu.tw/,[1]一般,210154.82,2675271.104
大專校院,1002,輔仁大學,新北市,新莊區,[242,新北市新莊區中正路510號,(02)29052000,http://www.fju.edu.tw,[1]一般,293807.139,2769495.93
大專校院,1003,東吳大學,臺北市,士林區,[111,臺北市士林區臨溪路70號,(02)28819471,http://www.scu.edu.tw,[1]一般,305046.512,2776349.843
大專校院,1004,中原大學,桃園市,中壢區,[320,桃園市中壢區中北路200號,(03)2659999,http://www.cycu.edu.tw,[1]一般,274269.257,2761067.206
大專校院,1005,淡江大學,新北市,淡水區,[251,新北市淡水區英專路151號,(02)26215656,http://www.tku.edu.tw,[1]一般,295066.77,2785106.165
大專校院,1006,中國文化大學,臺北市,士林區,[111,臺北市士林區華岡路55號,(02)28610511,http://www.pccu.edu.tw,[1]一般,304488.166,2781118.969
大專校院,1007,逢甲大學,臺中市,西屯區,[407,臺中市西屯區文華路100號,(04)24517250,http://www.fcu.edu.tw,[1]一般,214438.856,2674925.876
大專校院,1008,靜宜大學,臺中市,沙鹿區,[433,臺中市沙鹿區臺灣大道七段200號,(04)26328001,http://www.pu.edu.tw,[1]一般,207061.35,2680090.36
大專校院,1009,長庚大學,桃園市,龜山區,[333,桃園市龜山區文化一路259號,(03)2118800,http://www.cgu.edu.tw,[1]一般,289265,2769530.01
大專校院,1010,元智大學,桃園市,中壢區,[320,桃園市中壢區遠東路135號,(03)4638800,http://www.yzu.edu.tw,[1]一般,276599.79,2762469.1
大專校院,1011,中華大學,新竹市,香山區,[300,新竹市香山區東香里五福路二段707號,(03)5374281~5,http://www.chu.edu.tw,[1]一般,245177.52,2738901.01
大專校院,1012,大葉大學,彰化縣,大村鄉,[515,彰化縣大村鄉學府路168號,(04)8511888,http://www.dyu.edu.tw,[1]一般,208928,2655219.23
大專校院,1013,華梵大學,新北市,石碇區,[223,新北市石碇區華梵路1號,(02)26632102,http://www.hfu.edu.tw,[1]一般,319873.424,2763742.633
大專校院,1014,義守大學,高雄市,大樹區,[840,高雄市大樹區三和里學城路一段1號,(07)6577711,http://www.isu.edu.tw,[1]一般,189030.95,2514105.58
大專校院,1015,世新大學,臺北市,文山區,[116,臺北市文山區木柵路一段17巷1號,(02)22368225,http://www.shu.edu.tw,[1]一般,304926.924,2764627.737
大專校院,1016,銘傳大學,臺北市,士林區,[111,臺北市士林區中山北路五段250號,(02)28824564,http://www.mcu.edu.tw,[1]一般,303159.266,2775539.625
大專校院,1017,實踐大學,臺北市,中山區,[104,臺北市中山區大直街70號,(02)25381111,http://www.usc.edu.tw,[1]一般,305100.052,2775147.162
大專校院,1018,朝陽科技大學,臺中市,霧峰區,[413,臺中市霧峰區吉峰東路168號,(04)23323000,http://www.cyut.edu.tw,[2]技職,221120.441,2662710.239
大專校院,1019,高雄醫學大學,高雄市,三民區,[807,高雄市三民區十全一路100號,(07)3121101,http://www2.kmu.edu.tw,[1]一般,179081.914,2505157.951
大專校院,1020,南華大學,嘉義縣,大林鎮,[622,嘉義縣大林鎮南華路一段55號,(05)3102100,http://www.nhu.edu.tw,[1]一般,198390.616,2607426.249
大專校院,1021,真理大學,新北市,淡水區,[251,新北市淡水區真理街32號,(02)26212121,http://www.au.edu.tw,[1]一般,293806.377,2785293.563
大專校院,1022,大同大學,臺北市,中山區,[104,臺北市中山區中山北路三段40號,(02)21822928,http://www.ttu.edu.tw,[1]一般,302683.752,2773282.652
大專校院,1023,南臺科技大學,臺南市,永康區,[710,臺南市永康區尚頂里南臺街1號,(06)2533131,http://www.stust.edu.tw,[2]技職,170612.65,2547100.74
大專校院,1024,崑山科技大學,臺南市,永康區,[710,臺南市永康區崑大路195號,(06)2727175,http://www.ksu.edu.tw,[2]技職,173409.11,2544297.48
大專校院,1025,嘉南藥理大學,臺南市,仁德區,[717,臺南市仁德區二仁路一段60號,(06)2664911,http://www.cnu.edu.tw,[2]技職,170584.343,2535647.233
大專校院,1026,樹德科技大學,高雄市,燕巢區,[824,高雄市燕巢區橫山路59號,(07)6158000,http://www.stu.edu.tw,[2]技職,185815.11,2518355.55
大專校院,1027,慈濟大學,花蓮縣,花蓮市,[970,花蓮縣花蓮市中央路三段701號,(03)8565301,http://www.tcu.edu.tw,[1]一般,309970.067,2654310.213
大專校院,1028,臺北醫學大學,臺北市,信義區,[110,臺北市信義區吳興街250號,(02)27361661,http://www.tmu.edu.tw,[1]一般,306788.378,2768843.98
大專校院,1029,中山醫學大學,臺中市,南區,[402,臺中市南區建國北路一段110號,(04)24730022,http://www.csmu.edu.tw,[1]一般,214413.698,2668551.587
大專校院,1030,龍華科技大學,桃園市,龜山區,[333,桃園市龜山區萬壽路一段300號,(02)82093211,http://www.lhu.edu.tw/,[2]技職,290642,2767870.01
大專校院,1031,輔英科技大學,高雄市,大寮區,[831,高雄市大寮區進學路151號,(07)7811151,http://web.fy.edu.tw/bin/home.php,[2]技職,187414.81,2500549.05
大專校院,1032,明新科技大學,新竹縣,新豐鄉,[304,新竹縣新豐鄉新興路1號,(03)5593142,http://www.must.edu.tw,[2]技職,249124.807,2750743.685
大專校院,1033,長榮大學,臺南市,歸仁區,[711,臺南市歸仁區長大路1號,(06)2785123,http://www.cjcu.edu.tw,[1]一般,175471.97,2534451.28
大專校院,1034,弘光科技大學,臺中市,沙鹿區,[433,臺中市沙鹿區臺灣大道六段1018號,(04)26318652,http://www.hk.edu.tw,[2]技職,207598.57,2679169.81
大專校院,1035,中國醫藥大學,臺中市,北區,[404,臺中市北區學士路91號,(04)22053366,http://www.cmu.edu.tw,[1]一般,217593.693,2672373.601
大專校院,1036,健行科技大學,桃園市,中壢區,[320,桃園市中壢區健行路229號,(03)4581196,http://www.uch.edu.tw,[2]技職,273131,2759950.01
大專校院,1037,正修科技大學,高雄市,鳥松區,[833,高雄市鳥松區澄清路840號,(07)7358800,http://www.csu.edu.tw/wSite/mp?mp=10001,[2]技職,183159.66,2505759.86
大專校院,1038,萬能科技大學,桃園市,中壢區,[320,桃園市中壢區萬能路1號,(03)4515811,http://www.vnu.edu.tw/,[2]技職,273469,2764760.01
大專校院,1039,玄奘大學,新竹市,香山區,[300,新竹市香山區東香里玄奘路48號,(03)5302255,http://www.hcu.edu.tw,[1]一般,244337.08,2740842.74
大專校院,1040,建國科技大學,彰化縣,彰化市,[500,彰化縣彰化市介壽北路1號,(04)7111111,http://www.ctu.edu.tw,[2]技職,204171.29,2662471.5
大專校院,1041,明志科技大學,新北市,泰山區,[243,新北市泰山區貴子里工專路84號 ,(02)29089899,http://www.mcut.edu.tw/,[2]技職,292608.3,2770340.3
大專校院,1042,高苑科技大學,高雄市,路竹區,[821,高雄市路竹區中山路1821號,(07)6077777,http://www.kyu.edu.tw,[2]技職,174713.01,2526874.18
大專校院,1043,大仁科技大學,屏東縣,鹽埔鄉,[907,屏東縣鹽埔鄉新二村維新路20號,(08)7624002~5,http://www.tajen.edu.tw,[2]技職,203070.15,2514108.89
大專校院,1044,聖約翰科技大學,新北市,淡水區,[251,新北市淡水區淡金路四段499號,(02)28013131#7011,http://www.sju.edu.tw/,[2]技職,295508.055,2790995.554
大專校院,1045,嶺東科技大學,臺中市,南屯區,[408,臺中市南屯區嶺東路1號,(04)23892088,http://www.ltu.edu.tw,[2]技職,210122.791,2670360.646
大專校院,1046,中國科技大學,臺北市,文山區,[116,臺北市文山區興隆路三段56號,(02)29313416,http://www.cute.edu.tw/,[2]技職,306063.503,2765810.855
大專校院,1047,中臺科技大學,臺中市,北屯區,[406,臺中市北屯區廍子路666號,(04)22391647,http://www.ctust.edu.tw,[2]技職,223182.858,2674155.483
大專校院,1048,亞洲大學,臺中市,霧峰區,[413,臺中市霧峰區柳豐路500號,(04)23323456,http://www.asia.edu.tw,[1]一般,217929.653,2660265.893
大專校院,1049,開南大學,桃園市,蘆竹區,[338,桃園市蘆竹區開南路1號,(03)3412500,http://www.knu.edu.tw,[1]一般,277409,2766999.16
大專校院,1050,佛光大學,宜蘭縣,礁溪鄉,[262,宜蘭縣礁溪鄉林美村林尾路160號,(03)9871000,http://www.fgu.edu.tw,[1]一般,323961,2745787
大專校院,1051,台南應用科技大學,臺南市,永康區,[710,臺南市永康區中正路529號,(06)2532106,http://www.tut.edu.tw/,[2]技職,171955.03,2548839.74
大專校院,1052,遠東科技大學,臺南市,新市區,[744,臺南市新市區中華路49號,(06)5979566,http://www.feu.edu.tw,[2]技職,177735.1,2551635.5
大專校院,1053,元培醫事科技大學,新竹市,香山區,[300,新竹市香山區元培街306號,(03)5381183,http://www.ypu.edu.tw/,[2]技職,243971.14,2741172.41
