學校級別,代碼,學校名稱,縣市別,鄉鎮市區,郵遞區號,地址,電話,網址,體系別,X 坐標,Y 坐標
大專校院,1054,景文科技大學,新北市,新店區,[231,新北市新店區安忠路99號,(02)82122000,http://www.just.edu.tw/,[2]技職,301426.528,2760556.089
大專校院,1055,中華醫事科技大學,臺南市,仁德區,[717,臺南市仁德區文華一街89號,(06)2674567,http://www.hwai.edu.tw,[2]技職,172411.375,2540161.973
大專校院,1056,東南科技大學,新北市,深坑區,[222,新北市深坑區北深路三段152號,(02)86625900,http://www.tnu.edu.tw/,[2]技職,311041.471,2766404.63
大專校院,1057,德明財經科技大學,臺北市,內湖區,[114,臺北市內湖區環山路一段56號,(02)26585801,http://www.takming.edu.tw,[2]技職,307054.821,2775477.142
大專校院,1058,明道大學,彰化縣,埤頭鄉,[523,彰化縣埤頭鄉文化路369號,(04)8876660,http://www.mdu.edu.tw,[1]一般,198540.622,2640645.734
大專校院,1060,南開科技大學,南投縣,草屯鎮,[542,南投縣草屯鎮中正路568號,(049)2563489,http://www.nkut.edu.tw,[2]技職,219140.89,2652957.79
大專校院,1061,中華科技大學,臺北市,南港區,[115,臺北市南港區研究院路三段245號,(02)27821862~4,http://www.cust.edu.tw/www/cust.html,[2]技職,311548.794,2769637.233
大專校院,1062,僑光科技大學,臺中市,西屯區,[407,臺中市西屯區僑光路100號,(04)27016855,http://www.ocu.edu.tw,[2]技職,213750.688,2676012.262
大專校院,1063,育達科技大學,苗栗縣,造橋鄉,[361,苗栗縣造橋鄉談文村學府路168號,(037)651188,http://www.ydu.edu.tw,[2]技職,234066.17,2726981.18
大專校院,1064,美和科技大學,屏東縣,內埔鄉,[912,屏東縣內埔鄉美和村屏光路23號,(08)7799821,http://www.meiho.edu.tw,[2]技職,204834.9,2500473.32
大專校院,1065,吳鳳科技大學,嘉義縣,民雄鄉,[621,嘉義縣民雄鄉建國路二段117號,(05)2267125,http://www.wfu.edu.tw/,[2]技職,192233.43,2603683.59
大專校院,1066,環球科技大學,雲林縣,斗六市,[640,雲林縣斗六市嘉東里鎮南路1221號,(05)5370988,http://www.twu.edu.tw/,[2]技職,204667.13,2619707.17
大專校院,1067,台灣首府大學,臺南市,麻豆區,[721,臺南市麻豆區南勢里168號,(06)5718888,http://web.tsu.edu.tw/bin/home.php,[1]一般,175186.31,2565830
大專校院,1068,中州科技大學,彰化縣,員林市,[510,彰化縣員林市山腳路三段2巷6號,(04)8359000,http://www.ccut.edu.tw,[2]技職,209748.58,2650399.31
大專校院,1069,修平科技大學,臺中市,大里區,[412,臺中市大里區工業路11號,(04)24961100,http://www.hust.edu.tw/,[2]技職,220882.11,2665623.54
大專校院,1070,長庚科技大學,桃園市,龜山區,[333,桃園市龜山區文化一路261號,(03)2118999,http://www.cgust.edu.tw,[2]技職,289395,2769260.01
大專校院,1071,臺北城市科技大學,臺北市,北投區,[112,臺北市北投區學園路2號,(02)28927154,http://www.tpcu.edu.tw,[2]技職,297195.586,2780406.722
大專校院,1072,敏實科技大學,新竹縣,芎林鄉,[307,新竹縣芎林鄉大華路1號,(03)5927700,http://www.tust.edu.tw,[2]技職,258988.02,2741124.28
大專校院,1073,醒吾科技大學,新北市,林口區,[244,新北市林口區粉寮路一段101號,(02)26015310,http://www.hwu.edu.tw,[2]技職,290013.957,2774781.128
大專校院,1075,文藻外語大學,高雄市,三民區,[807,高雄市三民區民族一路900號,(07)3426031,http://www.wzu.edu.tw,[2]技職,179925.806,2507910.021
大專校院,1076,華夏科技大學,新北市,中和區,[235,新北市中和區工專路111號,(02)89415100,http://www.hwh.edu.tw,[2]技職,301247.03,2763910.835
大專校院,1077,慈濟科技大學,花蓮縣,花蓮市,[970,花蓮縣花蓮市建國路二段880號,(03)8572158,http://www.tcust.edu.tw,[2]技職,307478.738,2654844.622
大專校院,1078,致理科技大學,新北市,板橋區,[220,新北市板橋區文化路一段313號,(02)22576167,http://www.chihlee.edu.tw,[2]技職,296952.385,2768167.503
大專校院,1079,康寧大學,臺北市,內湖區,[114,臺北市內湖區康寧路三段75巷137號,(02)26321181,http://www.ukn.edu.tw/,[1]一般,311542.684,2774244.133
大專校院,1080,宏國德霖科技大學,新北市,土城區,[236,新北市土城區青雲路380巷1號,(02)22733567,http://www.hdut.edu.tw/,[2]技職,296083.006,2762922.896
大專校院,1081,東方設計大學,高雄市,湖內區,[829,高雄市湖內區東方路110號,(07)6932011,http://www.tf.edu.tw,[2]技職,172741.769,2531163.326
大專校院,1082,崇右影藝科技大學,基隆市,信義區,[201,基隆市信義區義七路40號,(02)24237785,http://www.cufa.edu.tw/,[2]技職,326003.273,2780578.641
大專校院,1083,台北海洋科技大學,新北市,淡水區,[251,新北市淡水區濱海路三段150號,(02)28059999,http://www.tumt.edu.tw/bin/home.php,[2]技職,292930.707,2787049.192
大專校院,1125,中信金融管理學院,臺南市,安南區,[709,臺南市安南區台江大道三段600號,(06)2873335,http://www.ctbc.edu.tw/,[1]一般,164143.96,2551460.746
大專校院,1148,大漢技術學院,花蓮縣,新城鄉,[971,花蓮縣新城鄉大漢村樹人街1號,(03)8210888,http://www.dahan.edu.tw,[2]技職,311606.768,2659553.666
大專校院,1159,和春技術學院,高雄市,大寮區,[831,高雄市大寮區琉球里至學路288號,(07)2621941,http://www.fotech.edu.tw,[2]技職,191089.3,2500934.12
大專校院,1166,亞東技術學院,新北市,板橋區,[220,新北市板橋區四川路二段58號,(02)77388000,http://www.oit.edu.tw,[2]技職,295738.251,2765319.423
大專校院,1168,南亞技術學院,桃園市,中壢區,[320,桃園市中壢區中山東路三段414號,(03)4361070,http://www.nanya.edu.tw/home.aspx,[2]技職,275433,2758870.01
大專校院,1176,稻江科技暨管理學院,嘉義縣,朴子市,[613,嘉義縣朴子市學府路二段51號,(05)3622889,http://www.toko.edu.tw,[1]一般,177337.77,2594061.51
大專校院,1182,蘭陽技術學院,宜蘭縣,頭城鎮,[261,宜蘭縣頭城鎮復興路79號,(03)9771997,http://www.fit.edu.tw,[2]技職,332621.869,2750963.879
大專校院,1183,黎明技術學院,新北市,泰山區,[243,新北市泰山區泰林路三段22號,(02)29097811,http://www.lit.edu.tw,[2]技職,292333.615,2773141.97
大專校院,1185,經國管理暨健康學院,基隆市,中山區,[203,基隆市中山區復興路336號,(02)24372093,http://www.cku.edu.tw,[2]技職,323495.12,2782690.656
大專校院,1188,大同技術學院,嘉義市,東區,[600,嘉義市東區彌陀路253號,(05)2223124,http://www.ttc.edu.tw,[2]技職,195342.839,2596383.177
大專校院,1192,臺灣觀光學院,花蓮縣,壽豐鄉,[974,花蓮縣壽豐鄉豐山村中興街268號,(03)8653906,http://www.tht.edu.tw,[2]技職,299723.617,2639574.107
大專校院,1195,馬偕醫學院,新北市,三芝區,[252,新北市三芝區中正路三段46號,(02)26360303,http://www.mmc.edu.tw,[1]一般,300033.718,2793884.123
大專校院,1196,法鼓文理學院,新北市,金山區,[208,新北市金山區西湖里法鼓路700號,(02)24980707 ,http://www.dila.edu.tw/,[1]一般,312011.456,2792686.507
大專校院,1282,馬偕醫護管理專科學校,臺北市,北投區,[112,臺北市北投區聖景路92號,(02)28584180,http://www.mkc.edu.tw,[2]技職,296846.589,2779365.417
大專校院,1283,仁德醫護管理專科學校,苗栗縣,後龍鎮,[356,苗栗縣後龍鎮溪洲里7鄰砂崙湖79之9號,(037)728855,http://www.jente.edu.tw,[2]技職,228023.52,2724101.25
大專校院,1284,樹人醫護管理專科學校,高雄市,路竹區,[821,高雄市路竹區環球路452號,(07)6979333,http://www.szmc.edu.tw,[2]技職,174184.8,2531482.64
大專校院,1285,慈惠醫護管理專科學校,屏東縣,南州鄉,[926,屏東縣南州鄉三民路367號,(08)8647367,http://www.tzuhui.edu.tw,[2]技職,197439.14,2487461
大專校院,1286,耕莘健康管理專科學校,新北市,新店區,[231,新北市新店區民族路112號,(02)22191131,http://www.ctcn.edu.tw,[2]技職,304062.322,2763242.179
大專校院,1287,敏惠醫護管理專科學校,臺南市,柳營區,[736,臺南市柳營區中山東路二段1116號,(06)6226111,http://www.mhchcm.edu.tw/,[2]技職,181427.68,2575434.29
大專校院,1289,育英醫護管理專科學校,高雄市,三民區,[807,高雄市三民區大昌二路420巷15號,(07)3811765,http://www.yuhing.edu.tw/releaseRedirect.do?unitID=1&pageID=95,[2]技職,181427.087,2505702.097
大專校院,1291,聖母醫護管理專科學校,宜蘭縣,三星鄉,[266,宜蘭縣三星鄉三星路二段265巷100號,(03)9897396,http://www.smc.edu.tw/,[2]技職,321153.8,2728851.57
大專校院,1292,新生醫護管理專科學校,桃園市,龍潭區,[325,桃園市龍潭區中豐路高平段418號,(03)4117578,http://www.web.hsc.edu.tw/bin/home.php,[2]技職,271090.55,2747218.26
大專校院,1293,崇仁醫護管理專科學校,嘉義縣,大林鎮,[622,嘉義縣大林鎮湖北里大湖1之10號,(05)2658880,http://www.cjc.edu.tw,[2]技職,194771.28,2613045.13
大專校院,3002,臺北市立大學,臺北市,中正區,[100,臺北市中正區愛國西路1號,(02)23113040,http://www.uTaipei.edu.tw,[1]一般,301826.304,2769814.466
宗教研修學院,1R02,基督教台灣浸會神學院,臺北市,信義區,[110,臺北市吳興街394巷1號,(02)27239500,http://www.tbts.edu.tw/,,307198.834,2768526.52
宗教研修學院,1R03,臺北基督學院,新北市,淡水區,[251,新北市淡水區自強路51號,(02)28097661,http://www.cct.edu.tw/,,296538.864,2780398.471
宗教研修學院,1R04,一貫道天皇學院,高雄市,六龜區,[844,高雄市六龜區新寮里三民路81號,(07)6872129,http://www.iktc.edu.tw,,210666.4,2532031.77
宗教研修學院,1R05,台灣神學研究學院,臺北市,士林區,[111,臺北市士林區仰德大道二段二巷20號,(02)28814472,http://www.tgst.edu.tw,,304554.024,2777144.384
宗教研修學院,1R06,一貫道崇德學院,南投縣,埔里鎮,[545,南投縣埔里鎮鯉魚路25-8號,(049)2988675,http://www.iktcds.edu.tw,,250171.91,2650637.43
宗教研修學院,1R07,台灣基督長老教會南神神學院,臺南市,東區,[701,臺南市東區東門路一段117號,(06)-2371291,http://www.ttcs.org.tw,,169412.64,2543202.96
空大及大專校院附設進修學校,0A01,國立空中大學,新北市,蘆洲區,[247,新北市蘆洲區中正路172號,(02)22829355,http://www.nou.edu.tw,,297210.959,2775481.164
空大及大專校院附設進修學校,0A12,國立臺北科技大學附進修學院,臺北市,大安區,[106,臺北市大安區忠孝東路三段1號,(02)27712171,http://www.ntut.edu.tw,,304036.865,2770560.156
空大及大專校院附設進修學校,0A13,國立高雄科技大學附進修學院,高雄市,三民區,[807,高雄市三民區建工路415號,(07)3814526,http://www.nkust.edu.tw,,180970.461,2505857.955
空大及大專校院附設進修學校,0A14,國立虎尾科技大學附進修學院,雲林縣,虎尾鎮,[632,雲林縣虎尾鎮文化路64號,(05)6315000,http://www.nfu.edu.tw,,191830.69,2622102.46
空大及大專校院附設進修學校,0A17,國立臺北商業大學附空中進院,臺北市,中正區,[100,臺北市中正區濟南路一段321號,(02)33222777,http://www.ntub.edu.tw,,303029.639,2770526.642
空大及大專校院附設進修學校,0A18,國立臺中科技大學附空中進院,臺中市,北區,[404,臺中市北區三民路三段129號,(04)22195678,http://www.nutc.edu.tw/bin/home.php,,217786.566,2671714.283
空大及大專校院附設進修學校,1A15,蘭陽技術學院附進修專校,宜蘭縣,頭城鎮,[261,宜蘭縣頭城鎮復興路79號,(03)9771997,http://www.fit.edu.tw,,332621.869,2750963.879
空大及大專校院附設進修學校,1A24,德明財經科技大學附進修專校,臺北市,內湖區,[114,臺北市內湖區環山路一段五六號,(02)26585801,http://www.takming.edu.tw,,307054.821,2775477.142
空大及大專校院附設進修學校,1A26,東南科技大學附進修專校,新北市,深坑區,[222,新北市深坑區北深路三段一五二號,(02)86625900,http://www.tnu.edu.tw/,,311041.471,2766404.63
空大及大專校院附設進修學校,1A38,中華科技大學附進修學院,臺北市,南港區,[115,臺北市南港區研究院路三段245號,(02)27821862~4,http://www.cust.edu.tw/www/cust.html,,311548.794,2769637.233
空大及大專校院附設進修學校,1A40,嶺東科技大學附進修學院,臺中市,南屯區,[408,臺中市南屯區嶺東路一號,(04)23892088,http://www.ltu.edu.tw,,210122.791,2670360.646
空大及大專校院附設進修學校,1A45,龍華科技大學附進修學院,桃園市,龜山區,[333,桃園市龜山區萬壽路一段三○○號,(02)29023211,,,184786.76,2502260.21
空大及大專校院附設進修學校,1A49,德明財經科技大學附進修學院,臺北市,內湖區,[114,臺北市內湖區環山路一段五六號,(02)26585801,http://www.takming.edu.tw,,307054.821,2775477.142
空大及大專校院附設進修學校,1A50,中國科技大學附進修學院,臺北市,文山區,[116,臺北市文山區興隆路三段56號,(02)29313416,http://www.cute.edu.tw/,,306063.503,2765810.855
空大及大專校院附設進修學校,1A51,致理科技大學附進修學院,新北市,板橋區,[220,新北市板橋區文化路一段313號,(02)22576167,http://www.chihlee.edu.tw,,296952.385,2768167.503
空大及大專校院附設進修學校,1A54,南亞技術學院附進修學院,桃園市,中壢區,[320,桃園市中壢區中山東路三段414號,(03)4361070,http://www.nanya.edu.tw/home.aspx,,275433,2758870.01
空大及大專校院附設進修學校,1A56,明新科技大學附進修學院,新竹縣,新豐鄉,[304,新竹縣新豐鄉新興路1號,(03)5593142,http://www.must.edu.tw,,249124.807,2750743.685
空大及大專校院附設進修學校,1A57,修平科技大學附進修學院,臺中市,大里區,[412,臺中市大里區工業路11號,(04)24961100,http://www.hust.edu.tw/,,220882.11,2665623.54
空大及大專校院附設進修學校,1A62,美和科技大學附進修學院,屏東縣,內埔鄉,[912,屏東縣內埔鄉美和村屏光路23號,(08)7799821,http://www.meiho.edu.tw,,204834.9,2500473.32
空大及大專校院附設進修學校,1A64,蘭陽技術學院附進修學院,宜蘭縣,頭城鎮,[261,宜蘭縣頭城鎮復興路79號,(03)9771997,http://www.fit.edu.tw,,332621.869,2750963.879
空大及大專校院附設進修學校,1A66,東南科技大學附進修學院,新北市,深坑區,[222,新北市深坑區北深路三段一五二號,(02)86625900,http://www.tnu.edu.tw/,,311041.471,2766404.63
空大及大專校院附設進修學校,1A67,崇右影藝科技大學附進修學院,基隆市,信義區,[201,基隆市信義區義七路40號,(02)24237785,http://www.cufa.edu.tw/,,326003.273,2780578.641
空大及大專校院附設進修學校,1A71,嘉南藥理大學附進修學院,臺南市,仁德區,[717,臺南市仁德區二仁路一段60號,(06)2664911,http://www.cnu.edu.tw,,170584.343,2535647.233
空大及大專校院附設進修學校,1A72,元培醫事科技大學附進修學院,新竹市,香山區,[300,新竹市香山區元培街306號,(03)5381183,http://www.ypu.edu.tw/,,243971.14,2741172.41
空大及大專校院附設進修學校,1A75,元培醫事科技大學附進修專校,新竹市,香山區,[300,新竹市香山區元培街306號,(03)5381183,http://www.ypu.edu.tw/,,243971.14,2741172.41
空大及大專校院附設進修學校,1A76,東方設計大學附進修學院,高雄市,湖內區,[829,高雄市湖內區東方路110號,(07)6932011,http://www.tf.edu.tw,,172741.769,2531163.326
空大及大專校院附設進修學校,1A80,中臺科技大學附進修學院,臺中市,北屯區,[406,臺中市北屯區廍子路666號,(04)22391647,http://www.ctust.edu.tw,,223182.858,2674155.483
空大及大專校院附設進修學校,3A01,高雄市立空中大學,高雄市,小港區,[812,高雄市小港區大業北路436號,(07)8012008,http://www.ouk.edu.tw,,182713.916,2496421.779
軍警大專校院,M001,中華民國陸軍官校,高雄市,鳳山區,[83059,高雄市鳳山區維武路1號,(07)7462151,http://www.cma.edu.tw,,184786.76,2502260.21
軍警大專校院,M002,中華民國海軍官校,高雄市,左營區,[81345,高雄市左營區軍校路669號,(07)5813141,http://www.cna.edu.tw/~na/chinese_web/index.htm,,177292,2511810.008
軍警大專校院,M003,中華民國空軍官校,高雄市,岡山區,[82047,高雄市岡山區介壽西路西首1號,(07)6254141,http://www.cafa.edu.tw/index.asp,,175583.158,2520594.912
軍警大專校院,M009,國防大學,桃園市,八德區,[33448,桃園市八德區興豐路1000號,(03)3801120,http://www.ndu.edu.tw/,,280614.31,2758583.75
軍警大專校院,M066,中央警察大學,桃園市,龜山區,[33304,桃園市龜山區大崗里樹人路56號 ,(03)3282321,http://www.cpu.edu.tw/bin/home.php,,285110.81,2770725.53
軍警大專校院,M104,國防醫學院,臺北市,內湖區,[11490,臺北市內湖區民權東路六段161號 ,(02)87923100,http://www.ndmctsgh.edu.tw/,,310064.9,2773757.786
軍警大專校院,M108,空軍航空技術學院,高雄市,岡山區,[82047,高雄市岡山區介壽西路198號,(07)6254141,http://www.afats.khc.edu.tw/,,175879.49,2520611.21
軍警大專校院,M209,陸軍專科學校,桃園市,中壢區,[32092,桃園市中壢區中堅里3鄰龍東路750號,(03)4664600#345154,http://www.aaroc.edu.tw/,,276232.57,2759062.63
軍警大專校院,M267,臺灣警察專科學校,臺北市,文山區,[11696,臺北市文山區興隆路三段 153 號,(02)22308512-4,http://www.tpa.edu.tw/,,306457.69,2765677.834
