宗教團體名稱,主管機關,主祀神祇,縣市,行政區,村里,地址,教　別,完整地址,緯度,經度
十甲園土地公廟,宜蘭縣政府,土地公,宜蘭縣,宜蘭縣冬山鄉,99,宜蘭縣冬山鄉照安路111號旁,道教,宜蘭縣冬山鄉南興村照安路115號,24.62997,121.793574
福德廟,宜蘭縣政府,土地公,宜蘭縣,宜蘭縣蘇澳鎮,99,宜蘭縣蘇澳鎮嶺腳路港邊路134-1號旁,道教,宜蘭縣蘇澳鎮嶺腳路,24.613765,121.851687
武營廟,宜蘭縣政府,大樹公,宜蘭縣,宜蘭縣宜蘭市,99,宜蘭縣宜蘭市西安街7號,道教,宜蘭縣宜蘭市大道里西安街5號,24.757487,121.750371
宜蘭市妙嚴宮,宜蘭縣政府,太乙救苦天尊,宜蘭縣,宜蘭縣宜蘭市,99,宜蘭縣宜蘭市旋流路24-50號,道教,宜蘭縣宜蘭市凱旋里旋流路24-50號,24.737383,121.764461
玉照天宮,宜蘭縣政府,玉皇上帝,宜蘭縣,宜蘭縣羅東鎮,99,宜蘭縣羅東鎮光武街141號,道教,宜蘭縣羅東鎮國華里光武街143號,24.678596,121.757548
昊天玉皇宮,宜蘭縣政府,玉皇大帝,宜蘭縣,宜蘭縣羅東鎮,99,宜蘭縣羅東鎮光榮路438巷46號,道教,宜蘭縣羅東鎮東安里光榮路438巷46號,24.680926,121.778883
新福宮,宜蘭縣政府,神農大帝,宜蘭縣,宜蘭縣宜蘭市,99,宜蘭縣宜蘭市縣政2街107號,道教,宜蘭縣宜蘭市南津里縣政二街107號,24.726154,121.764717
普濟寺,宜蘭縣政府,普庵祖師,宜蘭縣,宜蘭縣宜蘭市,99,宜蘭縣宜蘭市聖後街138號,佛教,宜蘭縣宜蘭市中正里聖後街138號,24.758862,121.755225
草湖福德廟,宜蘭縣政府,福德正神,宜蘭縣,宜蘭縣冬山鄉,99,宜蘭縣冬山鄉進偉路484號旁,道教,宜蘭縣冬山鄉進偉路,24.650884,121.725651
福德廟（樹林里）,宜蘭縣政府,福德正神,宜蘭縣,宜蘭縣羅東鎮,99,宜蘭縣羅東鎮文林路130號（原竹林段864地號）,道教,宜蘭縣羅東鎮樹林里文林路130號,24.683342,121.761384
竹林福德廟,宜蘭縣政府,福德正神,宜蘭縣,宜蘭縣羅東鎮,99,宜蘭縣羅東鎮樹人路1巷20號（原公正段853地號）,道教,宜蘭縣羅東鎮樹林里樹人路1巷10號,24.682632,121.763569
北成福德宮,宜蘭縣政府,福德正神,宜蘭縣,宜蘭縣羅東鎮,99,宜蘭縣羅東鎮公正路666之6號,道教,宜蘭縣羅東鎮國華里公正路666-6號,24.68081004,121.7531348
福德廟,宜蘭縣政府,福德正神,宜蘭縣,宜蘭縣羅東鎮,99,宜蘭縣羅東鎮忠義巷92號〈東光段1027號〉,道教,宜蘭縣羅東鎮仁德里忠義巷92號,24.673595,121.766321
東安福德廟,宜蘭縣政府,福德正神,宜蘭縣,宜蘭縣羅東鎮,99,宜蘭縣羅東鎮東安街東安段952地號2-1號,道教,宜蘭縣羅東鎮東安街,24.674339,121.776486
福安宮,宜蘭縣政府,"福德正神,廣澤尊王,古公三王",宜蘭縣,宜蘭縣羅東鎮,99,宜蘭縣羅東鎮西安街2號,道教,宜蘭縣羅東鎮西安里西安街2號,24.668402,121.76314
鑑民堂,宜蘭縣政府,關聖帝君,宜蘭縣,宜蘭縣宜蘭市,99,宜蘭縣宜蘭市進士路40號,道教,宜蘭縣宜蘭市進士里進士路40-100號,24.73527294,121.7448486
彌陀寺,宜蘭縣政府,釋迦牟尼佛,宜蘭縣,宜蘭縣宜蘭市,99,宜蘭縣宜蘭市環河東路589號,佛教,宜蘭縣宜蘭市環河東路,24.763239,121.759069
永天聖道寶禪院,花蓮縣政府,千手千眼觀音,花蓮縣,花蓮縣吉安鄉,99,花蓮縣吉安鄉南海10街142號,道教,花蓮縣吉安鄉仁安村南海十街142號,23.94169669,121.588965
台灣大樂寺,花蓮縣政府,釋迦摩尼佛,花蓮縣,花蓮縣吉安鄉,99,花蓮縣吉安鄉明義7街14巷6號,佛教,花蓮縣吉安鄉太昌村明義七街14巷6號,23.99574475,121.5570725
澤峰宮,金門縣政府,太子爺,金門縣,金門縣金沙鎮,99,金門縣金沙鎮高坑30-1號,道教,金門縣金沙鎮何斗里高坑30號,24.46679187,118.3953491
威震天門廟,金門縣政府,岳隆德元帥,金門縣,金門縣金寧鄉,99,金門縣金寧鄉西堡39號,道教,金門縣金寧鄉安美村西堡39號,24.4608367,118.3361727
靈帝殿,屏東縣政府,何府千歲,屏東縣,屏東縣東港鎮,99,屏東縣東港鎮盛漁街1號,道教,屏東縣東港鎮盛漁街,22.464175,120.445566
屏東都城隍廟,屏東縣政府,城隍尊神,屏東縣,屏東縣屏東市,99,屏東縣屏東市南昌路12號,道教,屏東縣屏東市南昌街,22.670094,120.487621
中壢玄天宮,桃園市政府,玄天上帝,桃園市,桃園市中壢區,99,桃園市中壢區天祥3街6-1號,道教,桃園市中壢區新興里天祥三街6-1號,24.946002,121.22272
般若妙園,桃園市政府,明明上帝,桃園市,桃園市龍潭區,99,桃園市龍潭區雙連街813巷100號,一貫道,桃園市龍潭區九龍里雙連街813巷100號,24.862228,121.235652
長德祠,桃園市政府,福德正神,桃園市,桃園市桃園區,99,桃園市桃園區中正5街212號,道教,桃園市桃園區長德里中正五街212號,25.004376,121.301021
開元玉旨寺,桃園市政府,釋迦牟尼佛,桃園市,桃園市龜山區,99,桃園市龜山區馬頭厝15鄰11號,佛教,桃園市龜山區大方新村11號,24.990775,121.324722
仁壽宮,高雄市政府,天上聖母,高雄市,高雄市楠梓區,99,高雄市楠梓區大學26街716號,道教,高雄市楠梓區藍田里大學二十六街716號,22.73010235,120.2833447
崑華宮,高雄市政府,天上聖母,高雄市,高雄市岡山區,99,高雄市岡山區山隙路96巷36號,道教,高雄市岡山區三和里山隙路96巷36號,22.826204,120.343141
本洲里北興宮,高雄市政府,玄天上帝,高雄市,高雄市岡山區,99,高雄市岡山區本洲1街194巷11號,道教,高雄市岡山區本洲里本洲一街194巷11號,22.812195,120.258815
聖和宮,高雄市政府,吳府千歲,高雄市,高雄市小港區,99,高雄市小港區高坪20街25巷27弄9號,道教,高雄市小港區坪頂里高坪二十街25巷27弄9號,22.55772235,120.3942547
鳳騰宮,高雄市政府,武德尊侯,高雄市,高雄市小港區,99,高雄市小港區高坪17街186號,道教,高雄市小港區坪頂里高坪十七街186號,22.55998235,120.3913947
澎湖東吉啟明宮,高雄市政府,徐府王爺,高雄市,高雄市鳳山區,99,高雄市鳳山區保安1街149號,道教,高雄市鳳山區南成里保安一街149號,22.591018,120.336217
紅毛港保安堂,高雄市政府,郭府千歲,高雄市,高雄市鳳山區,99,高雄市鳳山區國慶7街132號,道教,高雄市鳳山區南成里國慶七街132號,22.587834,120.33959
黃正公祠,高雄市政府,黃正公,高雄市,高雄市鼓山區,99,高雄市鼓山區迪化街90號,道教,高雄市鼓山區平和里迪化街90號,22.652491,120.276438
東隆宮,高雄市政府,溫府千歲,高雄市,高雄市前金區,99,高雄市前金區文武1街136號,道教,高雄市前金區北金里文武一街136號,22.633644,120.2935
高雄市大坪頂正成宮,高雄市政府,遊巡七府大王,高雄市,高雄市小港區,99,高雄市小港區高坪38街32號,道教,高雄市小港區坪頂里高坪三十八街32號,22.552345,120.385461
法山寺,高雄市政府,釋迦牟尼佛,高雄市,高雄市岡山區,99,高雄市岡山區本洲5街102號,佛教,高雄市岡山區本洲里本洲五街102號,22.818618,120.268514
天照寺,高雄市政府,釋迦牟尼佛,高雄市,高雄市旗山區,99,高雄市旗山區成功4街九號,佛教,高雄市旗山區三協里成功四街9號,22.879231,120.465522
超峰佛祖廟,高雄市政府,觀音佛祖,高雄市,高雄市岡山區,99,高雄市岡山區山隙路99號,佛教,高雄市岡山區三和里山隙路99號,22.829531,120.342123
基隆仙洞福德宮,基隆市政府,福德正神,基隆市,基隆市中山區,99,基隆市中山區仁安街5號,道教,基隆市中山區仙洞里仁安街3號,25.145215,121.747945
中和佛安宮,新北市政府,天上聖母,新北市,新北市中和區,99,新北市中和區永和路199巷3號,道教,新北市中和區中原里永和路199巷4弄7號,25.006126,121.491008
板橋慈后宮,新北市政府,天上聖母,新北市,新北市板橋區,99,新北市板橋區長江路一段106巷7號,道教,新北市板橋區宏翠里長江路一段106巷5-1號,25.029339,121.45985
保坪宮,新北市政府,玄天上帝,新北市,新北市坪林區,99,新北市坪林區坪林街79號,道教,新北市坪林區坪林街,24.93771,121.711662
三峽宰樞廟,新北市政府,玄天上帝,新北市,新北市三峽區,99,新北市三峽區秀川街28號,道教,新北市三峽區秀川里秀川街30號,24.934198,121.371632
板橋玄武宮(已廢止),新北市政府,玄天上帝,新北市,新北市板橋區,99,新北市板橋區中正路493巷10之2號,道教,新北市板橋區中正里中正路493巷1弄12-1號,25.028482,121.456815
聖靈宮,新北市政府,玄天上帝,新北市,新北市淡水區,99,新北市淡水區清水街224號,道教,新北市淡水區永吉里清水街222號,25.17151383,121.4402768
福正宮,新北市政府,福德正神,新北市,新北市新莊區,99,新北市新莊區天泉2街36巷1號,道教,新北市新莊區雙鳳里天泉二街1-2號,25.024617,121.415345
國邑武當山真武廟,嘉義市政府,北極玄天上帝,嘉義市,嘉義市西區,99,嘉義市西區泰瑞1街59號,道教,嘉義市西區福全里泰瑞一街59號,23.483679,120.425925
嘉義市真如禪寺,嘉義市政府,釋迦牟尼佛,嘉義市,嘉義市西區,99,嘉義市西區永康2街33號,佛教,嘉義市西區磚■里永康二街33號,23.475425,120.424198
南聖宮,彰化縣政府,天上聖母,彰化縣,彰化縣員林市,99,彰化縣員林市南平4街58號,道教,彰化縣員林市南平里南平四街58號,23.9677479,120.5649144
慈興宮,臺中市政府,天上聖母,臺中市,臺中市太平區,99,臺中市太平區大興13街93巷68號,道教,台中市太平區光華里大興十三街93巷68號,24.153568,120.730203
臺中復興宮,臺中市政府,天上聖母,臺中市,臺中市南區,99,臺中市南區有恆街9巷1之1號,道教,台中市南區長榮里有恆街9巷1-1號,24.132229,120.675522
南田里福德祠,臺中市政府,福德正神,臺中市,臺中市豐原區,99,臺中市豐原區水源路68巷42號,道教,台中市豐原區南田里水源路68巷42號,24.256765,120.744119
港口奉聖宮,臺北市政府,天上聖母,臺北市,臺北市信義區,99,臺北市信義區臥龍街11055 431巷52號,道教,台北市大安區臥龍里臥龍街52號,25.022102,121.547115
石泉巖,臺北市政府,清水祖師,臺北市,臺北市信義區,99,臺北市信義區臥龍街431巷50號,佛教,台北市信義區黎安里臥龍街431巷50號,25.012086,121.568914
東凌宮聖帝廟,臺東縣政府,關聖帝君,臺東縣,臺東縣臺東市,99,臺東縣臺東市博愛路177號,道教,台東縣台東市民權里博愛路177號,22.7589304,121.150644
玉窩堂,臺南市政府,九天玄女,臺南市,臺南市東區,99,臺南市東區立德8路3巷36號,道教,台南市東區大德里立德八路3巷36號,22.97725,120.214476
聖汝宮,臺南市政府,三奶夫人媽,臺南市,臺南市東區,99,臺南市東區裕和5街211號,道教,台南市東區關聖里裕和五街211號,22.985426,120.247229
三老爺宮,臺南市政府,三老爺,臺南市,臺南市永康區,99,臺南市永康區蔦松1街96號,道教,台南市永康區蔦松里蔦松一街96號,23.045247,120.256675
中興壇,臺南市政府,中壇元帥,臺南市,臺南市永康區,99,臺南市永康區富強路一段357巷3號,道教,台南市永康區西勢里富強路一段3號,23.013817,120.271932
泰安宮,臺南市政府,中壇元帥,臺南市,臺南市善化區,99,臺南市善化區六分寮東勢宅42號,道教,台南市善化區六德里,23.16414431,120.3028776
進安宮,臺南市政府,五府千歲,臺南市,臺南市永康區,99,臺南市永康區大橋1街103巷139號,道教,台南市永康區大橋里大橋一街103巷139號,23.019799,120.227648
厲王文安宮,臺南市政府,"五府千歲,張巡,許遠,南齋雲,雷萬春,李伯",臺南市,臺南市南區,99,臺南市南區新慶街10巷10號,道教,台南市南區再興里新慶街10巷8號,22.980665,120.193397
台灣省台南市鹿耳門天后宮,臺南市政府,天上聖母,臺南市,臺南市安南區,99,臺南市安南區媽祖宮1街136號,道教,台南市安南區顯宮里媽祖宮一街136號,23.037391,120.124686
海安宮,臺南市政府,天上聖母,臺南市,臺南市中西區,99,臺南市中西區金華路四段44巷31號,道教,台南市中西區民權里金華路四段44巷31號,22.997192,120.195187
糖廍角民安宮,臺南市政府,天上聖母,臺南市,臺南市善化區,99,臺南市善化區青年196號,道教,台南市善化區六德里,23.16414431,120.3028776
天池壇,臺南市政府,天府王爺,臺南市,臺南市中西區,99,臺南市中西區大仁街29號,道教,台南市中西區郡西里大仁街33號,22.990053,120.194722
南府濟生堂,臺南市政府,太上老君,臺南市,臺南市南區,99,臺南市南區萬年5街401巷42號,道教,台南市南區省躬里萬年五街401巷42號,22.934315,120.187657
二天府,臺南市政府,文昌帝君,臺南市,臺南市南區,99,臺南市南區省躬3街293號,道教,台南市南區松安里省躬三街293號,22.925943,120.179252
武玄宮,臺南市政府,文衡聖帝,臺南市,臺南市東區,99,臺南市東區崇明10街70巷6號,道教,台南市東區崇學里崇明十街70巷6號,22.976199,120.22193
龍鳳宮,臺南市政府,仙姑媽,臺南市,臺南市安南區,99,臺南市安南區安中路一段354巷32弄22之1號,道教,台南市安南區頂安里安中路一段354巷32弄14號,23.039107,120.20443
大灣伍風宮,臺南市政府,玄天上帝,臺南市,臺南市永康區,99,臺南市永康區大灣5街93巷92號,道教,台南市永康區西灣里大灣五街93巷92號,23.006766,120.26363
北極真武殿,臺南市政府,玄天上帝,臺南市,臺南市南區,99,臺南市南區公英1街64號,道教,台南市南區大忠里公英一街64號,22.970614,120.213058
皇天宮,臺南市政府,玉皇大天尊,臺南市,臺南市永康區,99,臺南市永康區中華路79巷26號,道教,台南市永康區勝利里中華路79巷26號,23.001585,120.234373
天宮壇,臺南市政府,田府元帥,臺南市,臺南市安平區,99,臺南市安平區漁河路121號,道教,台南市安平區,23.00067872,120.1668165
玉敕聖安宮,臺南市政府,白仙姑、劉聖君,臺南市,臺南市安南區,99,臺南市安南區府安路四段218號,道教,台南市安南區溪頂里府安路四段220號,23.024577,120.205374
大人廟,臺南市政府,朱池李千歲,臺南市,臺南市東區,99,臺南市東區東門路一段17號,道教,台南市東區東光里東門路一段17號,22.990075,120.230709
西龍殿,臺南市政府,池府千歲,臺南市,臺南市安平區,99,臺南市安平區國勝路35巷12號,道教,台南市安平區西門里國勝路35巷12號,23.00105,120.159476
塩埕保安宮,臺南市政府,池府千歲,臺南市,臺南市南區,99,臺南市南區鹽埕路291巷32弄61號,道教,台南市南區白雪里鹽埕路291巷32弄61號,22.970326,120.186489
鎮安宮,臺南市政府,池府千歲,臺南市,臺南市安南區,99,臺南市安南區鹽安路30路,道教,台南市安南區鹽安路,23.033098,120.144954
慈鳳宮,臺南市政府,西王金母,臺南市,臺南市永康區,99,臺南市永康區民族路3巷30號,道教,台南市永康區東灣里民族路3巷30號,23.000645,120.271907
大宅聖天宮,臺南市政府,吳府千歲,臺南市,臺南市仁德區,99,臺南市仁德區土庫1街82巷15號,道教,台南市仁德區土庫里土庫一街82巷15號,22.986612,120.264174
文朱殿,臺南市政府,李天王,臺南市,臺南市安平區,99,臺南市安平區效忠街63號,道教,台南市安平區海頭里效忠街65號,23.001283,120.161969
安平杭州殿,臺南市政府,周府大帝,臺南市,臺南市安平區,99,臺南市安平區光州7街45號,道教,台南市安平區億載里光州七街45號,22.992878,120.16272
正心堂,臺南市政府,金府千歲,臺南市,臺南市後壁區,99,臺南市後壁區菁寮後廍10鄰73號,道教,台南市後壁區崁頂里,23.39134401,120.3572788
南極殿,臺南市政府,長生帝君,臺南市,臺南市安平區,99,臺南市安平區光州5街21號,道教,台南市安平區億載里光州五街21號,22.988953,120.160795
廣濟宮,臺南市政府,保生大帝,臺南市,臺南市安平區,99,臺南市安平區效忠街33號,道教,台南市安平區海頭里效忠街33號,23.000948,120.163223
保安宮,臺南市政府,保生大帝,臺南市,臺南市安南區,99,臺南市安南區長和街三段96號,道教,台南市安南區州南里長和街三段98號,23.063583,120.21595
慶和宮,臺南市政府,保生大帝,臺南市,臺南市安南區,99,臺南市安南區長和街一段845巷56弄6號,道教,台南市安南區州北里長和街一段16號,23.063376,120.214891
郭府宮殿,臺南市政府,保安廣澤尊王,臺南市,臺南市東區,99,臺南市東區崇明11街52巷11號,道教,台南市東區崇學里崇明十一街52巷11號,22.976225,120.223658
開帝殿開興堂,臺南市政府,神農大帝,臺南市,臺南市東區,99,臺南市東區崇德7街8巷50號,道教,台南市東區崇德里崇德七街8巷50號,22.974381,120.228436
南天宮,臺南市政府,神農開天炎帝,臺南市,臺南市學甲區,99,臺南市學甲區信義街17巷2-3號,道教,台南市新市區新和里信義街17巷2號,23.07342609,120.289689
姑婆廟,臺南市政府,順天聖母,臺南市,臺南市永康區,99,臺南市永康區正南1街146號,道教,台南市永康區尚頂里正南一街146號,23.025507,120.227029
碧雲宮,臺南市政府,圓通道人文衡聖帝,臺南市,臺南市安平區,99,臺南市安平區建平7街2號,道教,台南市安平區文平里建平七街2號,22.988167,120.186137
永鎮宮,臺南市政府,廣澤尊王,臺南市,臺南市安南區,99,臺南市安南區鹽田6街26號,道教,台南市安南區鹽田里鹽田六街26號,23.033352,120.147221
臺南華光堂,臺南市政府,"濟公禪師,吳相府千歲",臺南市,臺南市東區,99,臺南市東區崇德6街18號,道教,台南市東區崇德里崇德六街18號,22.974989,120.226964
怡峰殿舉喜堂,臺南市政府,關聖帝君,臺南市,臺南市南區,99,臺南市南區萬年1街160號,道教,台南市南區興農里萬年一街160號,22.929963,120.187198
化善堂,臺南市政府,釋迦牟尼佛,臺南市,臺南市安平區,99,臺南市安平區效忠街52巷7號,佛教,台南市安平區海頭里效忠街52巷7號,23.001489,120.162718
龍明寺,臺南市政府,釋迦牟尼佛,臺南市,臺南市永康區,99,臺南市永康區中正5街11巷45號,佛教,台南市永康區鹽行里中正五街11巷45號,23.038217,120.245331
淨土寺,臺南市政府,釋迦牟尼佛,臺南市,臺南市永康區,99,臺南市永康區大灣1街167號,佛教,台南市永康區南灣里大灣一街167號,23.001271,120.266061
三寶山靈嚴講堂,臺南市政府,釋迦牟尼佛,臺南市,臺南市東區,99,臺南市東區裕農1街153號,佛教,台南市東區文聖里裕農一街153號,22.984555,120.238604
